raceId,driverId,lapNumber,compound
2025_R01,ANT,26.0,INTERMEDIATE
2025_R01,ANT,27.0,INTERMEDIATE
2025_R01,ANT,28.0,INTERMEDIATE
2025_R01,ANT,29.0,INTERMEDIATE
2025_R01,ANT,30.0,INTERMEDIATE
2025_R01,ANT,31.0,INTERMEDIATE
2025_R01,ANT,32.0,INTERMEDIATE
2025_R01,ANT,33.0,INTERMEDIATE
2025_R01,ANT,34.0,HARD
2025_R01,ANT,35.0,HARD
2025_R01,ANT,36.0,HARD
2025_R01,ANT,37.0,HARD
2025_R01,ANT,38.0,HARD
2025_R01,ANT,39.0,HARD
2025_R01,ANT,40.0,HARD
2025_R01,ANT,41.0,HARD
2025_R01,ANT,42.0,HARD
2025_R01,ANT,43.0,HARD
2025_R01,ANT,44.0,HARD
2025_R01,ANT,45.0,INTERMEDIATE
2025_R01,ANT,46.0,INTERMEDIATE
2025_R01,ANT,47.0,INTERMEDIATE
2025_R01,ANT,48.0,INTERMEDIATE
2025_R01,ANT,49.0,INTERMEDIATE
2025_R01,ANT,50.0,INTERMEDIATE
2025_R01,ANT,51.0,INTERMEDIATE
2025_R01,ANT,52.0,INTERMEDIATE
2025_R01,ANT,53.0,INTERMEDIATE
2025_R01,ANT,54.0,INTERMEDIATE
2025_R01,ANT,55.0,INTERMEDIATE
2025_R01,ANT,56.0,INTERMEDIATE
2025_R01,ANT,57.0,INTERMEDIATE
2025_R01,ALO,1.0,INTERMEDIATE
2025_R01,ALO,2.0,INTERMEDIATE
2025_R01,ALO,3.0,INTERMEDIATE
2025_R01,ALO,4.0,INTERMEDIATE
2025_R01,ALO,5.0,INTERMEDIATE
2025_R01,ALO,6.0,INTERMEDIATE
2025_R01,ALO,7.0,INTERMEDIATE
2025_R01,ALO,8.0,INTERMEDIATE
2025_R01,ALO,9.0,INTERMEDIATE
2025_R01,ALO,10.0,INTERMEDIATE
2025_R01,ALO,11.0,INTERMEDIATE
2025_R01,ALO,12.0,INTERMEDIATE
2025_R01,ALO,13.0,INTERMEDIATE
2025_R01,ALO,14.0,INTERMEDIATE
2025_R01,ALO,15.0,INTERMEDIATE
2025_R01,ALO,16.0,INTERMEDIATE
2025_R01,ALO,17.0,INTERMEDIATE
2025_R01,ALO,18.0,INTERMEDIATE
2025_R01,ALO,19.0,INTERMEDIATE
2025_R01,ALO,20.0,INTERMEDIATE
2025_R01,ALO,21.0,INTERMEDIATE
2025_R01,ALO,22.0,INTERMEDIATE
2025_R01,ALO,23.0,INTERMEDIATE
2025_R01,ALO,24.0,INTERMEDIATE
2025_R01,ALO,25.0,INTERMEDIATE
2025_R01,ALO,26.0,INTERMEDIATE
2025_R01,ALO,27.0,INTERMEDIATE
2025_R01,ALO,28.0,INTERMEDIATE
2025_R01,ALO,29.0,INTERMEDIATE
2025_R01,ALO,30.0,INTERMEDIATE
2025_R01,ALO,31.0,INTERMEDIATE
2025_R01,ALO,32.0,INTERMEDIATE
2025_R01,ALO,33.0,INTERMEDIATE
2025_R01,LEC,1.0,INTERMEDIATE
2025_R01,LEC,2.0,INTERMEDIATE
2025_R01,LEC,3.0,INTERMEDIATE
2025_R01,LEC,4.0,INTERMEDIATE
2025_R01,LEC,5.0,INTERMEDIATE
2025_R01,LEC,6.0,INTERMEDIATE
2025_R01,LEC,7.0,INTERMEDIATE
2025_R01,LEC,8.0,INTERMEDIATE
2025_R01,LEC,9.0,INTERMEDIATE
2025_R01,LEC,10.0,INTERMEDIATE
2025_R01,LEC,11.0,INTERMEDIATE
2025_R01,LEC,12.0,INTERMEDIATE
2025_R01,LEC,13.0,INTERMEDIATE
2025_R01,LEC,14.0,INTERMEDIATE
2025_R01,LEC,15.0,INTERMEDIATE
2025_R01,LEC,16.0,INTERMEDIATE
2025_R01,LEC,17.0,INTERMEDIATE
2025_R01,LEC,18.0,INTERMEDIATE
2025_R01,LEC,19.0,INTERMEDIATE
2025_R01,LEC,20.0,INTERMEDIATE
2025_R01,LEC,21.0,INTERMEDIATE
